,0,1,i,j,dist
346,0.9999823570251464,1.7652015230851248e-05,50,7,1300.3702438744756
347,0.9999511241912842,4.8907666496234015e-05,51,7,1190.8150510699052
348,0.1111555770039558,0.8888444304466248,52,7,1081.259858265335
349,0.9911956787109376,0.0088042644783854,53,7,971.7046654607647
350,0.9999887943267822,1.1153174455103e-05,54,7,862.1494726561943
351,0.9482665657997132,0.0517334230244159,55,7,752.594279851624
352,0.9999940395355223,5.95033679928747e-06,56,7,643.0390870470537
353,1.0,9.2716581079344e-09,57,7,533.4838942424834
354,1.0,1.8371273391437622e-09,58,7,423.92870143791305
355,1.0,4.294165934295991e-13,59,7,314.3735086333427
356,1.0,3.869082571689164e-12,60,7,193.4746498944402
357,1.0,4.464947508941997e-12,61,7,28.8933084917719
358,1.0,1.1466354254974219e-10,62,7,-135.6880329108964
359,0.9999998807907104,1.1516914355524933e-07,5,8,-3283.5240215353992
360,1.0,2.144781907631454e-09,6,8,-3028.920929968295
361,1.0,2.0630473024363383e-11,7,8,-2774.574922398024
362,0.9999996423721312,3.438931344135199e-07,8,8,-2520.563825813582
363,0.999957799911499,4.222469942760654e-05,9,8,-2267.00022055579
364,0.9964498281478882,0.0035501972306519,10,8,-2014.0531274025518
365,0.9871546030044556,0.0128453904762864,11,8,-1761.9880816850039
366,0.999934196472168,6.578549073310569e-05,12,8,-1511.2465053723035
367,0.99689519405365,0.0031047712545841,13,8,-1262.6171232800543
368,0.6714083552360535,0.3285916745662689,14,8,-1017.6492519527541
369,0.9999992847442628,7.059524023134145e-07,15,8,-779.8012567314828
370,0.084559753537178,0.9154402017593384,16,8,-553.1044139752227
371,0.999755084514618,0.0002449716557748,17,8,-327.756888287296
372,0.9401615262031556,0.059838481247425,18,8,-102.4093625993695
373,0.9999330043792723,6.701212987536564e-05,19,8,122.93816308855705
374,0.9983731508255004,0.0016268038889393,20,8,348.2856887764836
375,0.9999997615814208,2.497063178452663e-07,21,8,573.6332144644101
376,0.9929474592208862,0.0070525370538234,22,8,798.9807401523367
377,0.9999434947967528,5.656149369315244e-05,23,8,1024.3282658402632
378,0.9999986886978148,1.3653494761456386e-06,24,8,1199.0834926226053
379,0.999961256980896,3.871275475830771e-05,25,8,1306.701108388165
380,0.9999996423721312,3.165087036904879e-07,26,8,1373.3059358963383
381,0.9999799728393556,2.0067267541890036e-05,27,8,1439.9107634045115
382,0.5866842269897461,0.4133157432079315,28,8,1506.5155909126847
383,0.9999833106994628,1.668317781877704e-05,29,8,1573.1204184208577
384,0.9935095906257628,0.006490378640592,30,8,1639.7252459290312
385,0.9998352527618408,0.0001646896998863,31,8,1706.3300734372042
386,0.9991447925567628,0.0008551845094189,32,8,1753.9241026201396
387,0.210404634475708,0.789595365524292,33,8,1797.927745841195
388,0.9999631643295288,3.686869968078099e-05,34,8,1841.931389062251
389,0.9995653033256532,0.0004346404457464,35,8,1885.9350322833066
390,0.985051155090332,0.0149488560855388,36,8,1929.9386755043622
391,0.9972383975982666,0.0027615670114755,37,8,1973.9423187254179
392,0.9965302348136902,0.0034697819501161,38,8,2017.9459619464735
393,0.9999343156814576,6.564980139955878e-05,39,8,2061.949605167529
394,0.9393097162246704,0.060690302401781,40,8,2100.4974618675633
395,0.9779937267303468,0.0220062602311372,41,8,2065.5970228874526
396,0.9951240420341492,0.0048759798519313,42,8,2030.6965839073414
397,0.967410922050476,0.0325889997184276,43,8,1995.7961449272302
398,0.9108319282531738,0.0891680642962455,44,8,1960.895705947119
399,0.9999576807022096,4.227272074786015e-05,45,8,1925.9952669670079
400,0.974395513534546,0.0256044827401638,46,8,1891.094827986897
401,0.9995405673980712,0.0004594066122081,47,8,1856.1943890067857
402,0.999225378036499,0.0007745786570012,48,8,1750.8540500175086
403,0.9911118149757384,0.0088882185518741,49,8,1641.2988572129384
404,0.9999958276748656,4.215984972688602e-06,50,8,1531.743664408368
405,0.9999620914459229,3.7933612475171685e-05,51,8,1422.1884716037978
406,0.2069134414196014,0.7930865287780762,52,8,1312.6332787992274
407,0.9983344674110411,0.0016655385261401,53,8,1203.0780859946572
